metric,value
Average uncollateralized EE,19500.050482417275
Average collateralized EE,16603.194191844716
Average uncollateralized ENE,56792.34811131096
Average collateralized ENE,45832.65221777494
Peak uncollateralized PFE 95%,202340.97078486046
Peak collateralized PFE 95%,198506.08409917698
Peak uncollateralized PFE 99%,267424.1181878823
Peak collateralized PFE 99%,231106.02984285375
