scenario,average_collateralized_EE,average_collateralized_ENE,peak_collateralized_PFE_99,CVA,DVA,net_xva_adjustment,adjusted_value
Base,16603.194191844716,45832.65221777494,231106.02984285375,630.3331276341407,1492.8719101178963,862.5387824837555,862.5387824837555
Counterparty credit stress,16603.194191844716,45832.65221777494,231106.02984285375,1348.2269574560476,1423.1819856449174,74.95502818886985,74.95502818886985
Self credit stress,16603.194191844716,45832.65221777494,231106.02984285375,611.9700480412087,3254.1249662767646,2642.1549182355557,2642.1549182355557
Joint credit stress,16603.194191844716,45832.65221777494,231106.02984285375,1310.311181683615,3106.9915596431515,1796.6803779595366,1796.6803779595366
Collateral stress,19367.043712158433,56369.79478665931,266432.788054287,733.660603262073,1810.1419284685626,1076.4813252064896,1076.4813252064896
Joint credit + collateral stress,19367.043712158433,56369.79478665931,266432.788054287,1528.9611004584879,3792.9008781306593,2263.9397776721717,2263.9397776721717
