scenario,delta_CVA_vs_base,delta_DVA_vs_base,delta_net_xva_vs_base,delta_adjusted_value_vs_base
Base,0.0,0.0,0.0,0.0
Counterparty credit stress,717.8938298219068,-69.68992447297887,-787.5837542948857,-787.5837542948857
Self credit stress,-18.36307959293208,1761.2530561588683,1779.6161357518001,1779.6161357518001
Joint credit stress,679.9780540494742,1614.1196495252552,934.1415954757811,934.1415954757811
Collateral stress,103.32747562793224,317.2700183506663,213.94254272273406,213.94254272273406
Joint credit + collateral stress,898.6279728243471,2300.028968012763,1401.4009951884161,1401.4009951884161
