scenario,average_EE,average_ENE,peak_PFE_95,peak_PFE_99
Uncollateralized,19500.050482417275,56792.34811131096,202340.97078486046,267424.1181878823
Perfect collateral,0.0,0.0,0.0,0.0
Base CSA,16603.194191844716,45832.65221777494,198506.08409917698,231106.02984285375
High threshold,19413.770578912663,56295.63513847331,202123.03562950826,267216.99009919586
Long margin lag,16846.380709108234,46146.5125468247,195790.12356467627,230192.93567396168
