time,threshold,threshold_quantile,n_observations,n_exceedances,exceedance_probability,shape,scale,empirical_quantile,evt_quantile
0.003968253968253968,34125.876297974486,0.95,10000,500,0.05,-0.11201885672254501,3848.5166313597665,42015.093906430084,41936.80819159813
0.007936507936507936,38778.18993259029,0.95,10000,500,0.05,-0.13310749391370708,5467.463227716155,49572.26601358185,49621.11182740326
0.011904761904761904,41816.95594427108,0.95,10000,500,0.05,-0.06263756539221335,6248.878427260746,55067.3307348548,55216.046972653305
0.015873015873015872,44169.87171326294,0.95,10000,500,0.05,-0.04827124971881132,6927.648336047086,58393.43224164105,59266.82906214021
0.01984126984126984,46150.016865664766,0.95,10000,500,0.05,-0.07098451995805546,7766.659509504318,62660.55706226256,62648.38595815096
0.023809523809523808,47709.82181789311,0.95,10000,500,0.05,-0.09157715162406566,9065.88880719768,65768.36048117108,66530.78307366112
0.027777777777777776,49387.19702103822,0.95,10000,500,0.05,-0.17572058368756038,10602.546124381079,69188.07438753436,69465.36009974641
0.031746031746031744,51046.383079068495,0.95,10000,500,0.05,-0.11068360311042265,10221.81304045285,71196.66153896145,71823.08194634525
0.03571428571428571,52444.80947699798,0.95,10000,500,0.05,-0.19387888396015168,11838.90070359853,74151.03752033728,74432.92369938036
0.03968253968253968,53505.426108782936,0.95,10000,500,0.05,-0.16638293674250085,11965.009865528622,75475.49656418413,76392.48585576031
0.04365079365079365,54333.036312899785,0.95,10000,500,0.05,-0.13241249622250278,12294.775049761163,78787.03730553534,78734.21850059052
0.047619047619047616,54821.404733962925,0.95,10000,500,0.05,-0.149550916628156,13734.669067863251,79633.3414391446,81576.22765598643
0.051587301587301584,56143.61690441259,0.95,10000,500,0.05,-0.13118573232065836,13901.781085957651,83676.22115471352,83771.21505486997
0.05555555555555555,56994.67559197062,0.95,10000,500,0.05,-0.12587378172574443,14436.406738136742,86606.30995020378,85852.05933265487
0.05952380952380952,57546.80796455498,0.95,10000,500,0.05,-0.1398320531717075,15067.344112681008,88267.27626106139,87209.50845600967
0.06349206349206349,58028.23129226047,0.95,10000,500,0.05,-0.11241219369647701,14836.651705967017,88708.13201383008,88127.5854117281
0.06746031746031746,58331.48033885648,0.95,10000,500,0.05,-0.1027577629955567,15071.50010441668,90885.34702792397,89234.8525369877
0.07142857142857142,58486.35521408327,0.95,10000,500,0.05,-0.19987313134597445,17529.036807009088,90954.09497931904,90835.53012593555
0.07539682539682539,59562.12556555352,0.95,10000,500,0.05,-0.16124548948361586,16519.9070862247,91546.17818824819,91337.60870141705
0.07936507936507936,60293.56826429904,0.95,10000,500,0.05,-0.1492220766677413,16493.037529967813,92443.65775470901,92433.09970138935
0.08333333333333333,60670.240785897164,0.95,10000,500,0.05,-0.1633734317116727,16592.79014539972,92812.28301582637,92512.66553224633
0.0873015873015873,60587.53673102358,0.95,10000,500,0.05,-0.15272963412454743,16685.002311161203,94139.95369029244,92977.674435684
0.09126984126984126,60591.27565515058,0.95,10000,500,0.05,-0.1560876479866699,17230.441837733935,94172.8346205208,93918.81221657651
0.09523809523809523,60894.474393334705,0.95,10000,500,0.05,-0.14944958177553178,17589.335458784484,95454.95865089355,95161.86848166674
0.0992063492063492,60734.41188830524,0.95,10000,500,0.05,-0.12594304573188234,16982.8916615502,93629.38600437771,94679.46740299904
0.10317460317460317,61315.46487450822,0.95,10000,500,0.05,-0.1444406732432992,17538.56175874697,95956.97832625192,95670.39859616288
0.10714285714285714,60676.66252110142,0.95,10000,500,0.05,-0.18752372242850185,19462.10050689025,97956.56459302381,97069.17948369862
0.1111111111111111,61405.37764650166,0.95,10000,500,0.05,-0.2185041328917594,19999.972963956272,98335.97903536432,97593.33097656345
0.11507936507936507,60605.32689813435,0.95,10000,500,0.05,-0.29812815164114026,23169.8121918983,99343.9647614858,99203.62593444581
0.11904761904761904,61373.65279227795,0.95,10000,500,0.05,-0.3101544604906229,22994.22758423465,100453.14592480459,99213.33651177367
0.12301587301587301,62599.61972212817,0.95,10000,500,0.05,-0.24766356312118346,21037.991792529356,100382.67121350254,99519.22774104083
0.12698412698412698,61894.201598068044,0.95,10000,500,0.05,-0.26426668631507544,21731.413410095865,101257.73021822645,99378.55203390986
0.13095238095238093,62867.93632700743,0.95,10000,500,0.05,-0.23066510862379047,20950.429226662905,101510.02153725759,100293.53789755642
0.1349206349206349,63371.96588832927,0.95,10000,500,0.05,-0.2462430138699738,21143.886218871146,100273.94931756989,100532.41325445754
0.1388888888888889,63682.629432551505,0.95,10000,500,0.05,-0.22994562070290953,20752.04134451688,102994.30118623369,100781.85000247466
0.14285714285714285,63049.36641460595,0.95,10000,500,0.05,-0.20221126750036184,20596.847279772235,101142.43290956071,100965.73289752466
0.1468253968253968,62828.28984960734,0.95,10000,500,0.05,-0.1854848373144727,20713.493004675216,103200.34851545646,101645.33070562391
0.15079365079365079,63556.546317050444,0.95,10000,500,0.05,-0.20995087594094697,20865.535147841158,102967.80414888257,101653.5301479262
0.15476190476190477,63196.74597218205,0.95,10000,500,0.05,-0.25020991019999095,22448.58947280087,101763.61717243677,102487.43578282176
0.15873015873015872,63036.581905933635,0.95,10000,500,0.05,-0.2524138805044933,22610.779227050523,102802.92963055999,102520.46270010331
0.16269841269841268,63308.584329629186,0.95,10000,500,0.05,-0.23089290693854075,21946.190026820674,104255.65997143021,102503.62696392824
0.16666666666666666,63079.3777226851,0.95,10000,500,0.05,-0.26232066915869456,23204.36773217378,103031.4118020288,103185.16493144605
0.17063492063492064,63152.83337213309,0.95,10000,500,0.05,-0.2547117794401816,22821.838415217935,101732.81525580172,102910.1579563639
0.1746031746031746,63125.6602569553,0.95,10000,500,0.05,-0.26050897573517,23866.956499205306,103089.71924260621,104454.18111202773
0.17857142857142855,63357.03497763686,0.95,10000,500,0.05,-0.27879910592053375,23867.46582823496,104332.52401561842,103912.967960103
0.18253968253968253,62409.700272987095,0.95,10000,500,0.05,-0.2851216825265255,24665.82072068213,102419.11832916382,104050.78760985352
0.1865079365079365,62868.635067112664,0.95,10000,500,0.05,-0.27247762058869596,24376.56895726093,102547.67993606115,104560.30469915668
0.19047619047619047,62621.369170375816,0.95,10000,500,0.05,-0.2591135730330453,24002.285810023946,103262.54764031287,104244.42591576092
0.19444444444444442,61857.79485834193,0.95,10000,500,0.05,-0.2741198069751118,24708.37494003922,103871.97019166622,104045.44682760251
0.1984126984126984,61932.55357972441,0.95,10000,500,0.05,-0.3400083441587128,25825.960468370096,104868.17513937416,103171.08786166973
0.20238095238095238,61640.6952874544,0.95,10000,500,0.05,-0.3030218548914969,24736.486288390784,102950.89693377665,102643.8080382685
0.20634920634920634,61729.11495890876,0.95,10000,500,0.05,-0.29801827989040747,24705.39474521254,103124.20713223371,102890.13710078463
0.2103174603174603,60541.57663522438,0.95,10000,500,0.05,-0.2948355819670439,25471.67224951269,102561.11275281424,103117.44572359856
0.21428571428571427,60018.370707404894,0.95,10000,500,0.05,-0.32850851941668213,26766.152770427972,101688.62120611993,103255.03777206197
0.21825396825396826,60519.8624538489,0.95,10000,500,0.05,-0.29000926110021885,24961.040110138358,100927.36377870293,102448.7286931863
0.2222222222222222,60079.405504060276,0.95,10000,500,0.05,-0.3019832700915624,25835.97967812117,102528.43165951202,102950.36874587127
0.22619047619047616,59709.83485921547,0.95,10000,500,0.05,-0.3064233092754433,26110.074332110627,104101.30904799662,102840.2333961336
0.23015873015873015,59420.23705383594,0.95,10000,500,0.05,-0.30417773318216884,26506.07813408943,103535.56371594126,103304.9382929437
0.23412698412698413,59483.468828733035,0.95,10000,500,0.05,-0.3161207457299243,26656.24766508532,102571.30242411108,103084.82153390665
0.23809523809523808,58798.88950320526,0.95,10000,500,0.05,-0.3499967990198257,28332.637281141207,104391.00048214248,103590.21287949086
0.24206349206349204,58308.85210161855,0.95,10000,500,0.05,-0.3509373005316384,28824.591026018657,104659.34090899948,103835.15324415136
0.24603174603174602,58346.76062804504,0.95,10000,500,0.05,-0.3594767801973828,28356.70847249015,102679.17692188527,102754.7321226834
0.25,58369.19913765673,0.95,10000,500,0.05,-0.2903695353352112,26886.036344387103,103400.90883707657,103514.96225053357
0.25396825396825395,58233.8798794675,0.95,10000,500,0.05,-0.2917664866796872,27778.49575970477,103903.89630761283,104811.56586819504
0.2579365079365079,57625.467060518284,0.95,10000,500,0.05,-0.3003702067958476,28681.496716787442,108065.92334596647,105296.456808213
0.26190476190476186,57425.39453131935,0.95,10000,500,0.05,-0.22491699845872226,25859.132176834883,104695.40280420349,103899.79181612458
0.26587301587301587,56878.02140368391,0.95,10000,500,0.05,-0.3196000505488108,28598.173409841875,104048.92878728603,103491.32990420327
0.2698412698412698,57566.914203842796,0.95,10000,500,0.05,-0.3101194814123136,27304.583925925464,101354.97859500149,102501.3880479103
0.2738095238095238,56510.66259287198,0.95,10000,500,0.05,-0.3055652225841441,27677.494037729004,102714.45152664368,102270.15536117932
0.2777777777777778,56613.14372815166,0.95,10000,500,0.05,-0.3506586551331882,28663.129972588744,103430.7762212665,101897.0197897462
0.28174603174603174,56041.14568240319,0.95,10000,500,0.05,-0.3734986774557476,29590.19375891534,102961.35729478362,101741.17927249835
0.2857142857142857,55129.9617541327,0.95,10000,500,0.05,-0.3395195087431167,29473.325660579074,102162.21227485542,102215.63132386265
0.28968253968253965,54570.08088462393,0.95,10000,500,0.05,-0.3210663555479376,29204.75543473144,101484.9331631777,102101.56519268164
0.2936507936507936,54969.84426262252,0.95,10000,500,0.05,-0.29254119221516023,28014.74046549755,101508.12780230006,101906.43488164741
0.2976190476190476,53716.60477293954,0.95,10000,500,0.05,-0.3064878560571388,29145.716559168308,101429.63943140313,101858.32349527028
0.30158730158730157,53820.08360751971,0.95,10000,500,0.05,-0.2859834417675635,28496.401057674197,101691.14539013308,101885.47760982238
0.3055555555555555,53016.137874779866,0.95,10000,500,0.05,-0.29218650926869233,29333.470349327315,101654.96476968743,102179.99810936292
0.30952380952380953,52056.51476991812,0.95,10000,500,0.05,-0.3119271306266592,30135.13679923752,100809.35638368937,101558.2484674721
0.3134920634920635,51931.16722345899,0.95,10000,500,0.05,-0.26523898328308776,29083.587144218218,100558.4876001986,102046.76660506582
0.31746031746031744,51055.91729415238,0.95,10000,500,0.05,-0.2887340195897645,30386.173249145522,99941.26055886125,102164.49342872883
0.3214285714285714,51955.145365070886,0.95,10000,500,0.05,-0.3457582390463673,31341.104787139622,101637.45573734396,101712.87132007617
0.32539682539682535,50750.14670443195,0.95,10000,500,0.05,-0.3146111180259902,30767.814603978626,100301.97996576983,101153.78112151388
0.32936507936507936,51110.50377800099,0.95,10000,500,0.05,-0.33095117628366916,31163.430977386157,99787.91317993798,101326.6377150135
0.3333333333333333,50448.52310003325,0.95,10000,500,0.05,-0.3949681765360461,33388.8710361429,100755.1561248556,100937.70113957065
0.33730158730158727,50626.84527651591,0.95,10000,500,0.05,-0.33624519466257313,31493.4772604841,100846.91212214252,101105.43408879256
0.3412698412698413,50410.38642632592,0.95,10000,500,0.05,-0.28930132932035435,29772.656315905253,100215.81683023383,100457.94921494502
0.34523809523809523,50068.7241095143,0.95,10000,500,0.05,-0.2583503909355494,28879.023014271952,98548.90405255457,100188.34639870259
0.3492063492063492,49184.483922926156,0.95,10000,500,0.05,-0.35437770359318405,32448.884075193128,97136.05018822511,100259.56509473477
0.35317460317460314,49075.10625901761,0.95,10000,500,0.05,-0.37366805379570095,32806.53022454034,99379.50113564754,99734.07169439712
0.3571428571428571,48923.54407026308,0.95,10000,500,0.05,-0.31720237906412346,30501.612682545183,96133.95747697254,98760.10674030782
0.3611111111111111,48435.54760369953,0.95,10000,500,0.05,-0.28762338836829493,29707.488362172975,96269.71607299775,98459.5061313563
0.36507936507936506,47296.16040578176,0.95,10000,500,0.05,-0.32214911203532093,32002.086675698258,97846.76733899019,99323.41826761715
0.369047619047619,47614.853444751745,0.95,10000,500,0.05,-0.33507921121825046,31806.580526310696,96353.00798725235,98655.03407174234
0.373015873015873,46460.95210432427,0.95,10000,500,0.05,-0.3978846612514326,34470.63027041557,97805.55038091523,98437.37356474352
0.376984126984127,46716.72768076091,0.95,10000,500,0.05,-0.3498357580551603,33050.31562611451,99126.51091209357,98974.67257085163
0.38095238095238093,45235.66332192211,0.95,10000,500,0.05,-0.33813974278386094,34905.240334261274,101008.84179606402,101076.42255417895
0.3849206349206349,44853.048492521964,0.95,10000,500,0.05,-0.3232299330369289,34048.90076302982,98968.46775610826,100147.51083671195
0.38888888888888884,44652.1336324209,0.95,10000,500,0.05,-0.3354716299175393,34312.15352447698,99667.13759863154,99691.31766168837
0.39285714285714285,44453.409049355716,0.95,10000,500,0.05,-0.3644962705908357,35679.721618457435,99470.61148571306,100051.7081033558
0.3968253968253968,43896.62291819717,0.95,10000,500,0.05,-0.373018822990404,36511.261606303335,99563.125876527,100312.52348202126
