metric,value
Initial swap value,0.0
Average EE,19500.050482417275
Average ENE,56792.34811131096
Maximum positive exposure,435876.2897847914
Maximum negative exposure,580806.8416332235
Peak PFE 95%,202340.97078486046
Peak PFE 99%,267424.1181878823
