metric,value
Unilateral CVA,644.4494090585283
First-to-default CVA,630.3331276341407
Unilateral DVA,1552.8899690808257
First-to-default DVA,1492.8719101178963
FTD CVA reduction,14.11628142438758
FTD DVA reduction,60.018058962929445
