window,n_obs,a,sigma,phi,half_life_years
Full sample,5573,0.03171912945162965,0.004371908977763116,0.9998741383599249,21.852654613896824
Last 10Y,2551,0.003964020822311021,0.004008578180959185,0.9999842698823612,174.8596214880226
Last 5Y,1279,0.29675844530941065,0.004991476005899463,0.9988230802357335,2.3357285749264727
Post 2022,1144,0.5496451637259183,0.005221955254623579,0.9978212453369928,1.2610811962053114
