date,short_rate
2004-09-06,0.02034172388015244
2004-09-07,0.020408932975231515
2004-09-08,0.020443838326297484
2004-09-09,0.020371110042488517
2004-09-10,0.020346449864714993
2004-09-13,0.020413631250826837
2004-09-14,0.02037902543044537
2004-09-15,0.02040883152261614
2004-09-16,0.02047757853815472
2004-09-17,0.020502934173911545
2004-09-20,0.02046295791560022
2004-09-21,0.020501886756832004
2004-09-22,0.020526653563314606
2004-09-23,0.02043346790984229
2004-09-24,0.02058449603839855
2004-09-27,0.020556702195803283
2004-09-28,0.02053061240198037
2004-09-29,0.020618007113802964
2004-09-30,0.020313141688987874
2004-10-01,0.020609355510907926
2004-10-04,0.02059473964037431
2004-10-05,0.02058884948493727
2004-10-06,0.02061838904918448
2004-10-07,0.020621474745473947
2004-10-08,0.020448058760689166
2004-10-11,0.02054990187248354
2004-10-12,0.020487190140936033
2004-10-13,0.02058014463544426
2004-10-14,0.020539226961063615
2004-10-15,0.02058405734867925
2004-10-18,0.02054267506911262
2004-10-19,0.02059367009799194
2004-10-20,0.020624825990217262
2004-10-21,0.020650741957606574
2004-10-22,0.020697444055618793
2004-10-25,0.02065965731922665
2004-10-26,0.02071719134345397
2004-10-27,0.02078820337889829
2004-10-28,0.020807038356884085
2004-10-29,0.02072875054353612
2004-11-01,0.020782141174746888
2004-11-02,0.02083189960948707
2004-11-03,0.0204095838182768
2004-11-04,0.020283284749312357
2004-11-05,0.020118030821305442
2004-11-08,0.019907686682856585
2004-11-09,0.02120021177668784
2004-11-10,0.02118678770564231
2004-11-11,0.021282657206939174
2004-11-12,0.02118055646451631
2004-11-15,0.021251948783293634
2004-11-16,0.021202487693911455
2004-11-17,0.021208179194126046
2004-11-18,0.02123098209493853
2004-11-19,0.021242914876622384
2004-11-22,0.021229019713536565
2004-11-23,0.021285116817292365
2004-11-24,0.021254030186007657
2004-11-25,0.0211050692614823
2004-11-26,0.021066331925895482
2004-11-29,0.021149175015810807
2004-11-30,0.02105418830520824
2004-12-01,0.020968070567077085
2004-12-02,0.021116835961529145
2004-12-03,0.021097389461106994
2004-12-06,0.020934309574038065
2004-12-07,0.02094119872873209
2004-12-08,0.020963328105269602
2004-12-09,0.020903470293234572
2004-12-10,0.02102438169942344
2004-12-13,0.02091911377806237
